item_id,kind,grade,topic_id,generator_index,status,source
legacy:1N1:0,legacy_generator,1,1N1,0,live,hardcode
legacy:1N1:1,legacy_generator,1,1N1,1,quarantined,hardcode
legacy:1N1:2,legacy_generator,1,1N1,2,live,hardcode
legacy:1N1:3,legacy_generator,1,1N1,3,live,hardcode
legacy:1N1:4,legacy_generator,1,1N1,4,live,hardcode
legacy:1N1:5,legacy_generator,1,1N1,5,live,hardcode
legacy:1N1:6,legacy_generator,1,1N1,6,live,hardcode
legacy:1N2:0,legacy_generator,1,1N2,0,quarantined,hardcode
legacy:1N2:1,legacy_generator,1,1N2,1,quarantined,hardcode
legacy:1N2:2,legacy_generator,1,1N2,2,quarantined,hardcode
legacy:1N2:3,legacy_generator,1,1N2,3,live,hardcode
legacy:1N2:4,legacy_generator,1,1N2,4,quarantined,hardcode
legacy:1N2:5,legacy_generator,1,1N2,5,quarantined,hardcode
legacy:1N2:6,legacy_generator,1,1N2,6,live,hardcode
legacy:1N3:0,legacy_generator,1,1N3,0,live,hardcode
legacy:1N3:1,legacy_generator,1,1N3,1,live,hardcode
legacy:1N3:2,legacy_generator,1,1N3,2,quarantined,hardcode
legacy:1N3:3,legacy_generator,1,1N3,3,quarantined,hardcode
legacy:1N3:4,legacy_generator,1,1N3,4,live,hardcode
legacy:1N3:5,legacy_generator,1,1N3,5,live,hardcode
legacy:1N4:0,legacy_generator,1,1N4,0,quarantined,hardcode
legacy:1N4:1,legacy_generator,1,1N4,1,quarantined,hardcode
legacy:1N4:2,legacy_generator,1,1N4,2,quarantined,hardcode
legacy:1N4:3,legacy_generator,1,1N4,3,quarantined,hardcode
legacy:1N4:4,legacy_generator,1,1N4,4,live,hardcode
legacy:1N4:5,legacy_generator,1,1N4,5,quarantined,hardcode
legacy:1M:0,legacy_generator,1,1M,0,quarantined,hardcode
legacy:1M:1,legacy_generator,1,1M,1,live,hardcode
legacy:1M:2,legacy_generator,1,1M,2,quarantined,hardcode
legacy:1M:3,legacy_generator,1,1M,3,quarantined,hardcode
legacy:1M:4,legacy_generator,1,1M,4,live,hardcode
legacy:1M:5,legacy_generator,1,1M,5,live,hardcode
legacy:1S:0,legacy_generator,1,1S,0,live,hardcode
legacy:1S:1,legacy_generator,1,1S,1,live,hardcode
legacy:1S:2,legacy_generator,1,1S,2,quarantined,hardcode
legacy:1S:3,legacy_generator,1,1S,3,live,hardcode
legacy:1S:4,legacy_generator,1,1S,4,live,hardcode
legacy:1S:5,legacy_generator,1,1S,5,live,hardcode
legacy:1M1:0,legacy_generator,1,1M1,0,quarantined,hardcode
legacy:1M1:1,legacy_generator,1,1M1,1,live,hardcode
legacy:1M1:2,legacy_generator,1,1M1,2,quarantined,hardcode
legacy:1M1:3,legacy_generator,1,1M1,3,quarantined,hardcode
legacy:1M1:4,legacy_generator,1,1M1,4,live,hardcode
legacy:1M1:5,legacy_generator,1,1M1,5,live,hardcode
legacy:1M2:0,legacy_generator,1,1M2,0,quarantined,hardcode
legacy:1M2:1,legacy_generator,1,1M2,1,live,hardcode
legacy:1M2:2,legacy_generator,1,1M2,2,quarantined,hardcode
legacy:1M2:3,legacy_generator,1,1M2,3,quarantined,hardcode
legacy:1M2:4,legacy_generator,1,1M2,4,live,hardcode
legacy:1M2:5,legacy_generator,1,1M2,5,live,hardcode
legacy:1M3:0,legacy_generator,1,1M3,0,quarantined,hardcode
legacy:1M3:1,legacy_generator,1,1M3,1,live,hardcode
legacy:1M3:2,legacy_generator,1,1M3,2,quarantined,hardcode
legacy:1M3:3,legacy_generator,1,1M3,3,quarantined,hardcode
legacy:1M3:4,legacy_generator,1,1M3,4,live,hardcode
legacy:1M3:5,legacy_generator,1,1M3,5,live,hardcode
legacy:1M4:0,legacy_generator,1,1M4,0,quarantined,hardcode
legacy:1M4:1,legacy_generator,1,1M4,1,live,hardcode
legacy:1M4:2,legacy_generator,1,1M4,2,quarantined,hardcode
legacy:1M4:3,legacy_generator,1,1M4,3,quarantined,hardcode
legacy:1M4:4,legacy_generator,1,1M4,4,live,hardcode
legacy:1M4:5,legacy_generator,1,1M4,5,live,hardcode
legacy:1S1:0,legacy_generator,1,1S1,0,live,hardcode
legacy:1S1:1,legacy_generator,1,1S1,1,live,hardcode
legacy:1S1:2,legacy_generator,1,1S1,2,quarantined,hardcode
legacy:1S1:3,legacy_generator,1,1S1,3,live,hardcode
legacy:1S1:4,legacy_generator,1,1S1,4,live,hardcode
legacy:1S1:5,legacy_generator,1,1S1,5,live,hardcode
legacy:1S2:0,legacy_generator,1,1S2,0,live,hardcode
legacy:1S2:1,legacy_generator,1,1S2,1,live,hardcode
legacy:1S2:2,legacy_generator,1,1S2,2,quarantined,hardcode
legacy:1S2:3,legacy_generator,1,1S2,3,live,hardcode
legacy:1S2:4,legacy_generator,1,1S2,4,live,hardcode
legacy:1S2:5,legacy_generator,1,1S2,5,live,hardcode
legacy:1S3:0,legacy_generator,1,1S3,0,live,hardcode
legacy:1S3:1,legacy_generator,1,1S3,1,live,hardcode
legacy:1S3:2,legacy_generator,1,1S3,2,quarantined,hardcode
legacy:1S3:3,legacy_generator,1,1S3,3,live,hardcode
legacy:1S3:4,legacy_generator,1,1S3,4,live,hardcode
legacy:1S3:5,legacy_generator,1,1S3,5,live,hardcode
legacy:2N1:0,legacy_generator,2,2N1,0,live,hardcode
legacy:2N1:1,legacy_generator,2,2N1,1,live,hardcode
legacy:2N1:2,legacy_generator,2,2N1,2,live,hardcode
legacy:2N1:3,legacy_generator,2,2N1,3,live,hardcode
legacy:2N2:0,legacy_generator,2,2N2,0,live,hardcode
legacy:2N2:1,legacy_generator,2,2N2,1,quarantined,hardcode
legacy:2N2:2,legacy_generator,2,2N2,2,quarantined,hardcode
legacy:2N2:3,legacy_generator,2,2N2,3,quarantined,hardcode
legacy:2N2:4,legacy_generator,2,2N2,4,live,hardcode
legacy:2N3:0,legacy_generator,2,2N3,0,live,hardcode
legacy:2N3:1,legacy_generator,2,2N3,1,live,hardcode
legacy:2N3:2,legacy_generator,2,2N3,2,live,hardcode
legacy:2N3:3,legacy_generator,2,2N3,3,quarantined,hardcode
legacy:2N3:4,legacy_generator,2,2N3,4,live,hardcode
legacy:2N3:5,legacy_generator,2,2N3,5,live,hardcode
legacy:2N3:6,legacy_generator,2,2N3,6,live,hardcode
legacy:2N4:0,legacy_generator,2,2N4,0,live,hardcode
legacy:2N4:1,legacy_generator,2,2N4,1,live,hardcode
legacy:2N4:2,legacy_generator,2,2N4,2,live,hardcode
legacy:2N4:3,legacy_generator,2,2N4,3,live,hardcode
legacy:2N4:4,legacy_generator,2,2N4,4,live,hardcode
legacy:2N4:5,legacy_generator,2,2N4,5,quarantined,hardcode
legacy:2N4:6,legacy_generator,2,2N4,6,live,hardcode
legacy:2N5:0,legacy_generator,2,2N5,0,live,hardcode
legacy:2N5:1,legacy_generator,2,2N5,1,live,hardcode
legacy:2N5:2,legacy_generator,2,2N5,2,quarantined,hardcode
legacy:2N5:3,legacy_generator,2,2N5,3,quarantined,hardcode
legacy:2N5:4,legacy_generator,2,2N5,4,quarantined,hardcode
legacy:2N6:0,legacy_generator,2,2N6,0,quarantined,hardcode
legacy:2N6:1,legacy_generator,2,2N6,1,live,hardcode
legacy:2N6:2,legacy_generator,2,2N6,2,quarantined,hardcode
legacy:2N6:3,legacy_generator,2,2N6,3,live,hardcode
legacy:2N6:4,legacy_generator,2,2N6,4,quarantined,hardcode
legacy:2N6:5,legacy_generator,2,2N6,5,quarantined,hardcode
legacy:2M:0,legacy_generator,2,2M,0,live,hardcode
legacy:2M:1,legacy_generator,2,2M,1,quarantined,hardcode
legacy:2M:2,legacy_generator,2,2M,2,live,hardcode
legacy:2M:3,legacy_generator,2,2M,3,live,hardcode
legacy:2M:4,legacy_generator,2,2M,4,live,hardcode
legacy:2M:5,legacy_generator,2,2M,5,quarantined,hardcode
legacy:2S:0,legacy_generator,2,2S,0,live,hardcode
legacy:2S:1,legacy_generator,2,2S,1,live,hardcode
legacy:2S:2,legacy_generator,2,2S,2,live,hardcode
legacy:2D1:0,legacy_generator,2,2D1,0,live,hardcode
legacy:2D1:1,legacy_generator,2,2D1,1,live,hardcode
legacy:2D1:2,legacy_generator,2,2D1,2,live,hardcode
legacy:2D1:3,legacy_generator,2,2D1,3,live,hardcode
legacy:2D1:4,legacy_generator,2,2D1,4,live,hardcode
legacy:3N1:0,legacy_generator,3,3N1,0,live,hardcode
legacy:3N1:1,legacy_generator,3,3N1,1,live,hardcode
legacy:3N1:2,legacy_generator,3,3N1,2,live,hardcode
legacy:3N1:3,legacy_generator,3,3N1,3,live,hardcode
legacy:3N1:4,legacy_generator,3,3N1,4,live,hardcode
legacy:3N1:5,legacy_generator,3,3N1,5,live,hardcode
legacy:3N1:6,legacy_generator,3,3N1,6,live,hardcode
legacy:3N2:0,legacy_generator,3,3N2,0,live,hardcode
legacy:3N2:1,legacy_generator,3,3N2,1,live,hardcode
legacy:3N2:2,legacy_generator,3,3N2,2,live,hardcode
legacy:3N2:3,legacy_generator,3,3N2,3,live,hardcode
legacy:3N2:4,legacy_generator,3,3N2,4,live,hardcode
legacy:3N2:5,legacy_generator,3,3N2,5,quarantined,hardcode
legacy:3N2:6,legacy_generator,3,3N2,6,live,hardcode
legacy:3N3:0,legacy_generator,3,3N3,0,live,hardcode
legacy:3N3:1,legacy_generator,3,3N3,1,live,hardcode
legacy:3N3:2,legacy_generator,3,3N3,2,quarantined,hardcode
legacy:3N3:3,legacy_generator,3,3N3,3,quarantined,hardcode
legacy:3N3:4,legacy_generator,3,3N3,4,live,hardcode
legacy:3N3:5,legacy_generator,3,3N3,5,live,hardcode
legacy:3N3:6,legacy_generator,3,3N3,6,live,hardcode
legacy:3N4:0,legacy_generator,3,3N4,0,live,hardcode
legacy:3N4:1,legacy_generator,3,3N4,1,live,hardcode
legacy:3N4:2,legacy_generator,3,3N4,2,live,hardcode
legacy:3N4:3,legacy_generator,3,3N4,3,quarantined,hardcode
legacy:3N4:4,legacy_generator,3,3N4,4,live,hardcode
legacy:3N4:5,legacy_generator,3,3N4,5,live,hardcode
legacy:3N4:6,legacy_generator,3,3N4,6,live,hardcode
legacy:3N4:7,legacy_generator,3,3N4,7,quarantined,hardcode
legacy:3N5:0,legacy_generator,3,3N5,0,live,hardcode
legacy:3N5:1,legacy_generator,3,3N5,1,quarantined,hardcode
legacy:3N5:2,legacy_generator,3,3N5,2,quarantined,hardcode
legacy:3N5:3,legacy_generator,3,3N5,3,quarantined,hardcode
legacy:3N5:4,legacy_generator,3,3N5,4,live,hardcode
legacy:3N5:5,legacy_generator,3,3N5,5,live,hardcode
legacy:3N6:0,legacy_generator,3,3N6,0,live,hardcode
legacy:3N6:1,legacy_generator,3,3N6,1,live,hardcode
legacy:3N6:2,legacy_generator,3,3N6,2,live,hardcode
legacy:3N6:3,legacy_generator,3,3N6,3,live,hardcode
legacy:3N6:4,legacy_generator,3,3N6,4,live,hardcode
legacy:3N6:5,legacy_generator,3,3N6,5,live,hardcode
legacy:3M:0,legacy_generator,3,3M,0,live,hardcode
legacy:3M:1,legacy_generator,3,3M,1,live,hardcode
legacy:3M:2,legacy_generator,3,3M,2,live,hardcode
legacy:3M:3,legacy_generator,3,3M,3,live,hardcode
legacy:3M:4,legacy_generator,3,3M,4,live,hardcode
legacy:3S:0,legacy_generator,3,3S,0,live,hardcode
legacy:3S:1,legacy_generator,3,3S,1,live,hardcode
legacy:3S:2,legacy_generator,3,3S,2,live,hardcode
legacy:3S:3,legacy_generator,3,3S,3,live,hardcode
legacy:3S:4,legacy_generator,3,3S,4,live,hardcode
legacy:3D1:0,legacy_generator,3,3D1,0,live,hardcode
legacy:3D1:1,legacy_generator,3,3D1,1,quarantined,hardcode
legacy:3D1:2,legacy_generator,3,3D1,2,quarantined,hardcode
legacy:3D2:0,legacy_generator,3,3D2,0,live,hardcode
legacy:3D2:1,legacy_generator,3,3D2,1,live,hardcode
legacy:3D2:2,legacy_generator,3,3D2,2,live,hardcode
legacy:3D2:3,legacy_generator,3,3D2,3,live,hardcode
legacy:4N1:0,legacy_generator,4,4N1,0,live,hardcode
legacy:4N1:1,legacy_generator,4,4N1,1,live,hardcode
legacy:4N1:2,legacy_generator,4,4N1,2,live,hardcode
legacy:4N1:3,legacy_generator,4,4N1,3,live,hardcode
legacy:4N1:4,legacy_generator,4,4N1,4,live,hardcode
legacy:4N1:5,legacy_generator,4,4N1,5,live,hardcode
